Player,Team,Player & Team,Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Aaron Brooks,MIN,Aaron Brooks MIN,PG,33,32,1,189,5.3,13.1,0.406,2.1,5.9,0.355,3.2,7.2,0.447,1.5,2.1,0.727,1.3,1.9,3.2,3.8,1.1,0,2.1,5.3,14.3
Aaron Gordon,ORL,Aaron Gordon ORL,PF,22,58,57,1909,7.1,16.3,0.434,2.2,6.4,0.336,4.9,9.9,0.497,3,4.2,0.698,1.6,7,8.6,2.6,1.1,0.8,2,2.1,19.3
Aaron Harrison,DAL,Aaron Harrison DAL,SG,23,9,3,233,2.9,10.7,0.275,1.4,6.6,0.209,1.5,4,0.385,2,2.6,0.765,0.6,3.1,3.7,1.7,1.4,0.3,0.5,4.2,9.3
Aaron Jackson,HOU,Aaron Jackson HOU,PG,31,1,0,35,3.1,9.3,0.333,1,4.1,0.25,2.1,5.1,0.4,1,2.1,0.5,2.1,1,3.1,1,0,0,1,4.1,8.2
Abdel Nader,BOS,Abdel Nader BOS,SF,24,48,1,522,3.4,10.3,0.336,1.6,4.5,0.354,1.9,5.8,0.321,1.6,2.7,0.59,0.9,4,4.9,1.8,1,0.7,2.3,3.1,10.1
Adreian Payne,ORL,Adreian Payne ORL,PF,26,5,0,43,5.9,8.4,0.7,1.7,2.5,0.667,4.2,5.9,0.714,4.2,5,0.833,1.7,5.9,7.5,0,1.7,0,1.7,5,17.6
Al Horford,BOS,Al Horford BOS,C,31,72,72,2277,5.8,11.9,0.489,1.5,3.6,0.429,4.3,8.3,0.514,1.5,1.9,0.783,1.6,6.8,8.4,5.4,0.7,1.2,2.1,2.2,14.7
Al Jefferson,IND,Al Jefferson IND,C,33,36,1,484,8.3,15.5,0.534,0,0.2,0,8.3,15.2,0.541,2.2,2.7,0.833,2.2,8.4,10.6,2.2,1.2,1.7,1.6,4.9,18.7
Al-Farouq Aminu,POR,Al-Farouq Aminu POR,PF,27,69,67,2072,4,10.1,0.395,2.2,5.9,0.369,1.8,4.2,0.432,1,1.4,0.738,1.7,7.4,9.1,1.5,1.4,0.7,1.4,2.4,11.2
Alan Williams,PHO,Alan Williams PHO,PF,25,5,0,70,3.6,9.3,0.389,0,0,,3.6,9.3,0.389,3.1,4.6,0.667,1.5,9.8,11.3,4.1,2.6,0.5,3.6,6.7,10.3
Alec Burks,UTA,Alec Burks UTA,SG,26,64,1,1059,5.8,14.1,0.411,1.6,4.8,0.331,4.2,9.2,0.452,3.6,4.2,0.863,0.6,5.9,6.5,2.3,1.3,0.3,2,2.5,16.8
Alec Peters,PHO,Alec Peters PHO,PF,22,20,0,225,4.5,11.8,0.378,2.9,9.3,0.31,1.6,2.6,0.625,1.3,1.6,0.8,1.3,4.6,5.9,1.9,0.3,0.3,0.6,2.1,13.1
Alex Abrines,OKC,Alex Abrines OKC,SG,24,75,8,1134,3.7,9.2,0.395,2.7,7,0.38,1,2.2,0.443,1.2,1.5,0.848,0.8,2.8,3.6,0.9,1.2,0.3,0.8,3.9,11.2
Alex Caruso,LAL,Alex Caruso LAL,PG,23,37,7,562,3.2,7.4,0.431,0.8,2.8,0.302,2.4,4.7,0.507,1.3,1.9,0.7,1,3.2,4.2,4.8,1.5,0.6,2.7,3.3,8.6
Alex Len,PHO,Alex Len PHO,C,24,69,13,1395,5.5,9.8,0.566,0,0.1,0.333,5.5,9.7,0.568,4.1,6,0.684,4.5,8.9,13.4,2.1,0.7,1.6,2,4.1,15.1
Alex Poythress,IND,Alex Poythress IND,PF,24,25,0,104,3.8,9,0.423,1.4,3.8,0.364,2.4,5.2,0.467,0,0,,2.4,3.5,5.9,0.7,1,0.3,0.7,5.5,9
Alfonzo McKinnie,TOR,Alfonzo McKinnie TOR,SF,25,14,0,53,5.4,10.2,0.533,2,6.1,0.333,3.4,4.1,0.833,1.4,2,0.667,0.7,4.1,4.8,0.7,0.7,0.7,2,5.4,14.3
Allen Crabbe,BRK,Allen Crabbe BRK,SG,25,75,68,2197,5.5,13.6,0.407,3.3,8.7,0.378,2.2,4.8,0.461,1.9,2.2,0.852,0.5,4.9,5.3,1.9,0.8,0.6,1.3,2.8,16.2
