Player,Team,Player & Team,season17_18
Stephen Curry,GSW,Stephen Curry GSW,34682550
LeBron James,CLE,LeBron James CLE,33285709
Paul Millsap,DEN,Paul Millsap DEN,31269231
Gordon Hayward,BOS,Gordon Hayward BOS,29727900
Blake Griffin,DET,Blake Griffin DET,29512900
Kyle Lowry,TOR,Kyle Lowry TOR,28703704
Russell Westbrook,OKC,Russell Westbrook OKC,28530608
Mike Conley,MEM,Mike Conley MEM,28530608
James Harden,HOU,James Harden HOU,28299399
DeMar DeRozan,TOR,DeMar DeRozan TOR,27739975
Al Horford,BOS,Al Horford BOS,27734405
Carmelo Anthony,OKC,Carmelo Anthony OKC,26243760
Damian Lillard,POR,Damian Lillard POR,26153057
Jrue Holiday,NOP,Jrue Holiday NOP,25686667
Chris Bosh,MIA,Chris Bosh MIA,25289390
Kevin Durant,GSW,Kevin Durant GSW,25000000
Otto Porter,WAS,Otto Porter WAS,24773250
Chris Paul,HOU,Chris Paul HOU,24599495
C.J. McCollum,POR,C.J. McCollum POR,23962573
Bradley Beal,WAS,Bradley Beal WAS,23775506
Anthony Davis,NOP,Anthony Davis NOP,23775506
Andre Drummond,DET,Andre Drummond DET,23775506
Hassan Whiteside,MIA,Hassan Whiteside MIA,23775506
Dwight Howard,CHO,Dwight Howard CHO,23500000
Chandler Parsons,MEM,Chandler Parsons MEM,23112004
Harrison Barnes,DAL,Harrison Barnes DAL,23112004
J.J. Redick,PHI,J.J. Redick PHI,23000000
Marc Gasol,MEM,Marc Gasol MEM,22642350
Kevin Love,CLE,Kevin Love CLE,22642350
Brook Lopez,LAL,Brook Lopez LAL,22642350
DeAndre Jordan,LAC,DeAndre Jordan LAC,22642350
Steven Adams,OKC,Steven Adams OKC,22471910
Giannis Antetokounmpo,MIL,Giannis Antetokounmpo MIL,22471910
Nicolas Batum,CHO,Nicolas Batum CHO,22434783
Rudy Gobert,UTA,Rudy Gobert UTA,21974719
LaMarcus Aldridge,SAS,LaMarcus Aldridge SAS,21461010
Victor Oladipo,IND,Victor Oladipo IND,21000000
Enes Kanter,NYK,Enes Kanter NYK,20566802
Danilo Gallinari,LAC,Danilo Gallinari LAC,20559599
Serge Ibaka,TOR,Serge Ibaka TOR,20061729
George Hill,CLE,George Hill CLE,20000000
Ryan Anderson,HOU,Ryan Anderson HOU,19578455
Paul George,OKC,Paul George OKC,19508958
Allen Crabbe,BRK,Allen Crabbe BRK,19332500
Jimmy Butler,MIN,Jimmy Butler MIN,19301070
Jeff Teague,MIN,Jeff Teague MIN,19000000
Kawhi Leonard,SAS,Kawhi Leonard SAS,18868625
Kyrie Irving,BOS,Kyrie Irving BOS,18868625
John Wall,WAS,John Wall WAS,18063850
DeMarcus Cousins,NOP,DeMarcus Cousins NOP,18063850
Greg Monroe,PHO,Greg Monroe PHO,17884176
Wesley Matthews,DAL,Wesley Matthews DAL,17884176
Klay Thompson,GSW,Klay Thompson GSW,17826150
Joakim Noah,NYK,Joakim Noah NYK,17765000
Kentavious Caldwell-Pope,LAL,Kentavious Caldwell-Pope LAL,17745894
Luol Deng,LAL,Luol Deng LAL,17190000
Evan Turner,POR,Evan Turner POR,17131148
Goran Dragic,MIA,Goran Dragic MIA,17000450
Evan Fournier,ORL,Evan Fournier ORL,17000000
Bismack Biyombo,ORL,Bismack Biyombo ORL,17000000
Kent Bazemore,ATL,Kent Bazemore ATL,16910113
Robert Covington,PHI,Robert Covington PHI,16698103
Ian Mahinmi,WAS,Ian Mahinmi WAS,16661641
Tim Hardaway,NYK,Tim Hardaway NYK,16500000
Draymond Green,GSW,Draymond Green GSW,16400000
Tristan Thompson,CLE,Tristan Thompson CLE,16400000
Reggie Jackson,DET,Reggie Jackson DET,16000000
Pau Gasol,SAS,Pau Gasol SAS,16000000
Tobias Harris,LAC,Tobias Harris LAC,16000000
Dwyane Wade,CHI,Dwyane Wade CHI,15550000
Dennis Schroder,ATL,Dennis Schroder ATL,15500000
Jonas Valanciunas,TOR,Jonas Valanciunas TOR,15460675
Tony Parker,SAS,Tony Parker SAS,15453126
Timofey Mozgov,BRK,Timofey Mozgov BRK,15280000
Andre Iguodala,GSW,Andre Iguodala GSW,14814815
DeMarre Carroll,BRK,DeMarre Carroll BRK,14800000
Thaddeus Young,IND,Thaddeus Young IND,14796348
Eric Bledsoe,MIL,Eric Bledsoe MIL,14500000
Ricky Rubio,UTA,Ricky Rubio UTA,14275000
Joe Ingles,UTA,Joe Ingles UTA,14136364
Gorgui Dieng,MIN,Gorgui Dieng MIN,14112360
Khris Middleton,MIL,Khris Middleton MIL,14100000
Mason Plumlee,DEN,Mason Plumlee DEN,14041096
Taj Gibson,MIN,Taj Gibson MIN,14000000
James Johnson,MIA,James Johnson MIA,13954000
Robin Lopez,CHI,Robin Lopez CHI,13788500
J.R. Smith,CLE,J.R. Smith CLE,13760000
Brandon Knight,PHO,Brandon Knight PHO,13618750
Marvin Williams,CHO,Marvin Williams CHO,13168750
Tyson Chandler,PHO,Tyson Chandler PHO,13000000
Michael Kidd-Gilchrist,CHO,Michael Kidd-Gilchrist CHO,13000000
Eric Gordon,HOU,Eric Gordon HOU,12943020
Kenneth Faried,DEN,Kenneth Faried DEN,12921348
Marcin Gortat,WAS,Marcin Gortat WAS,12782609
Cody Zeller,CHO,Cody Zeller CHO,12584270
Miles Plumlee,ATL,Miles Plumlee ATL,12500000
Nikola Mirotic,NOP,Nikola Mirotic NOP,12500000
Zach Randolph,SAC,Zach Randolph SAC,12307692
Nikola Vucevic,ORL,Nikola Vucevic ORL,12250000
Solomon Hill,NOP,Solomon Hill NOP,12236535
Wilson Chandler,DEN,Wilson Chandler DEN,12016854
Jeremy Lin,BRK,Jeremy Lin BRK,12000000
Kemba Walker,CHO,Kemba Walker CHO,12000000
